,model_id,rmse,mse,mae,rmsle,mean_residual_deviance
0,StackedEnsemble_AllModels_1_AutoML_1_20240511_203730,0.9933244415026512,0.9866934460865536,0.7070936257323724,0.3624498361249184,0.9866934460865536
1,StackedEnsemble_BestOfFamily_1_AutoML_1_20240511_203730,1.0040526744126148,1.0081217729951242,0.7113529662038196,0.3644977777099442,1.0081217729951242
2,DeepLearning_grid_3_AutoML_1_20240511_203730_model_1,1.0502946414349013,1.1031188338268676,0.7407951309163264,0.3800634214059115,1.1031188338268676
3,DeepLearning_grid_2_AutoML_1_20240511_203730_model_4,1.0743662377180971,1.154262812748539,0.7939863507822305,0.4088313850321926,1.154262812748539
4,DeepLearning_grid_3_AutoML_1_20240511_203730_model_4,1.0869628565383216,1.1814882514939478,0.7921167565238739,0.4071232256695938,1.1814882514939478
5,DeepLearning_grid_2_AutoML_1_20240511_203730_model_1,1.088122022355698,1.184009535535454,0.7828856625328029,0.4016544157487753,1.184009535535454
6,DRF_1_AutoML_1_20240511_203730,1.088238901485646,1.1842639067066854,0.8037761754897861,0.3994281677827743,1.1842639067066854
7,XRT_1_AutoML_1_20240511_203730,1.0940949911468318,1.197043849652586,0.8050842564544115,0.400222409883703,1.197043849652586
8,GBM_grid_1_AutoML_1_20240511_203730_model_4,1.1061959216799602,1.2236694171413764,0.7866289425765257,0.3943130790195914,1.2236694171413764
9,GBM_grid_1_AutoML_1_20240511_203730_model_7,1.1073117585280532,1.2261393305744896,0.7996325031228254,0.3933098580988807,1.2261393305744896
10,GBM_grid_1_AutoML_1_20240511_203730_model_1,1.1161134834156077,1.2457093078621213,0.8122233843917882,0.4017201757673805,1.2457093078621213
11,GBM_3_AutoML_1_20240511_203730,1.116516043302357,1.2466080749515516,0.817599180385023,0.4009277793102102,1.2466080749515516
12,GBM_5_AutoML_1_20240511_203730,1.1195333843106046,1.253354998585956,0.8191535455335466,0.3997471354506402,1.253354998585956
13,GBM_2_AutoML_1_20240511_203730,1.1214127188829772,1.2575664860725115,0.8269105639872063,0.4030711612198504,1.2575664860725115
14,GBM_4_AutoML_1_20240511_203730,1.1222279628626677,1.259395600630893,0.8087344123012654,0.3999484218206131,1.259395600630893
15,GBM_grid_1_AutoML_1_20240511_203730_model_2,1.1297222286191426,1.2762723138362024,0.8301790122408553,0.4136084437550654,1.2762723138362024
16,GBM_grid_1_AutoML_1_20240511_203730_model_8,1.1445263391646745,1.3099405410416916,0.8552818654567208,0.414483196999344,1.3099405410416916
17,GBM_grid_1_AutoML_1_20240511_203730_model_5,1.1445340913807325,1.3099582863327182,0.8564722971554009,0.4137902992347685,1.3099582863327182
18,DeepLearning_grid_2_AutoML_1_20240511_203730_model_3,1.155157162373636,1.3343880697831103,0.8846261973475538,0.4382949798675407,1.3343880697831103
19,GBM_grid_1_AutoML_1_20240511_203730_model_3,1.1600839783006118,1.3457948367097743,0.8725267312734648,0.4219483647122163,1.3457948367097743
20,DeepLearning_grid_1_AutoML_1_20240511_203730_model_3,1.160778606074777,1.3474069723209017,0.8695226128038392,0.4270820796220137,1.3474069723209017
21,GBM_grid_1_AutoML_1_20240511_203730_model_6,1.1615366168212424,1.3491673122165375,0.8807114007776231,0.4266188742892343,1.3491673122165375
22,GBM_grid_1_AutoML_1_20240511_203730_model_9,1.169390384243311,1.3674738707607192,0.8874827422429632,0.4249853144707257,1.3674738707607192
23,DeepLearning_grid_1_AutoML_1_20240511_203730_model_1,1.1713485075112948,1.372057326048938,0.8672380818346452,,1.372057326048938
24,DeepLearning_grid_1_AutoML_1_20240511_203730_model_4,1.1798115474253472,1.3919552874381922,0.8887558444553495,0.4351914218042406,1.3919552874381922
25,DeepLearning_grid_1_AutoML_1_20240511_203730_model_2,1.185792251836807,1.4061032645162053,0.8974651292222539,0.4387547674931364,1.4061032645162053
26,DeepLearning_grid_2_AutoML_1_20240511_203730_model_2,1.1882281460978,1.4118861271790148,0.8976608857979737,0.4461459448002808,1.4118861271790148
27,DeepLearning_grid_3_AutoML_1_20240511_203730_model_2,1.1938779902326004,1.425344655561833,0.8971674628595778,0.4459249543701464,1.425344655561833
28,GBM_1_AutoML_1_20240511_203730,1.198453896074977,1.4362917410172926,0.906774470701703,0.4316643904562934,1.4362917410172926
29,DeepLearning_grid_3_AutoML_1_20240511_203730_model_3,1.2369020958801915,1.529926794792811,0.9432910613004508,0.4711697485345717,1.529926794792811
30,DeepLearning_1_AutoML_1_20240511_203730,1.288930087866278,1.6613407714069712,0.9805620024446728,,1.6613407714069712
31,GLM_1_AutoML_1_20240511_203730,1.3975193196023463,1.953060248661805,1.0767585792508267,,1.953060248661805
